Greek Word,English Translation,Similar,Example Sentence
προέρχεται,comes from,,"H πρώτη επίσημη καταγραφή του χωριού Βωλάξ, προέρχεται από τα κρατικά έγγραφα της βενετικής διοίκησης του 1618 (ASVe, Duca Di Candia, Busta 92) που βρίσκονται στην Ιταλία."
οι σχέσεις,relationships,,"Άλλωστε οι μυθολογικές Αμαζόνες πάντοτε απεικονίζονταν ως όμορφες και ερωτικές γυναίκες που δεν πολεμούσαν μόνο τους Έλληνες, αλλά συχνά δημιουργούσαν και ερωτικές σχέσεις με αυτούς."
απέκτησε,acquired,,"W. Dziewulski, F. Hawranek, Opole - Monografia miasta, Instytut Śląski Opole 1975, p. 57. Το Οπόλε απέκτησε τα πρώτα δικαιώματα πόλης περίπου το 1217, αλλά η ημερομηνία αμφισβητείται."
αποτελούν,form,,"To Σαξόφωνο είναι το ""νεότερο"" όργανο μεταξύ εκείνων που αποτελούν σήμερα τις ορχήστρες και ένα από τα λίγα όργανα που πραγματικά αποτελούν εφεύρεση, δηλαδή δεν προέρχεται από κάποιο άλλο όργανο."
η αρχή,principle,,Ακολούθως παρατίθενται οι περιουσίες καθενός αναφερομένου στην αρχή της κομητείας.
η δημιουργία,creation,,"To εξώφυλλο του δίσκου Shiny Beast (Bat Chain Puller), δημιουργία του Ντον Βαν Βλιτ και χαρακτηριστικό δείγμα της τεχνοτροπίας του."
εντός,within,ενός,"Δευτερεύουσες μεταβολές που μπορούν να αναπτυχθούν εντός των ινομυωμάτων είναι αιμορραγίες, νεκρώσεις του ιστού, ασβεστοποιήσεις και κυστικές μεταβολές."
τα θέματα,issues,,Άλλοι επίσης συγγραφείς του 18ου αιώνα έστρεψαν περισσότερο την προσοχή τους σε θέματα που αφορούσαν τον όγκο της απασχόλησης ως κριτήριο αποδοτικότητας των ρυθμιστικών μέτρων και όχι τόσο σε καθαρά κέρδη από τα πολύτιμα μέταλλα.
κέρδισε,he won,,"To Προοδευτικό Κόμμα των Πολιτών ήρθε δεύτερο με 43,5%, πίσω από το κόμμα Πατριωτική Ένωση (VU), το οποίο κέρδισε 47,6%."
νότια,southerly,,H Βασιλικά έχει στα δυτικά το ιερό της Πόλης και νότια την Ιερά Οδό.
το παράδειγμα,example,,"Για παράδειγμα ένας νευροψυχολόγος μπορεί να ερευνά ποια εγκεφαλικά κέντρα παίζουν ρόλο στην μάθηση, με τι είδους βιολογικές αντιδράσεις, πως μπορούμε να τις ελέγξουμε, αλλά και πως μπορούμε να βοηθήσουμε τον εγκέφαλο για να «μάθει» καλύτερα."
η παραγωγή,production,,"""Thank U, Next"" Επόμενη έλαβε ευρεία αναγνώριση από τους κριτικούς της μουσικής, με πολλούς να επαινέσουν τη συνεκτικότητα και την παραγωγή του άλμπουμ."
"σημαντικός,  σημαντική, σημαντικό",important,,"Ακολούθησε η ίδρυση της Ελληνικής Αγροτικής Ποδοσφαιρικής Ομοσπονδίας το 1962, με την ΕΝΠ να διαδραματίζει σημαντικό ρόλο στη δημιουργία της."
το σώμα,body,,"Αγκάλιαζε το σώμα και ερχόταν να καταλήξει πίσω στη μέση, όπου δενόταν με σκοινί."
τέσσερις,four,,Από την ήπειρο της Ασίας τέσσερις εθνικές ομάδες δικαιούνται να πάνε με απευθείας πρόκριση στο Παγκόσμιο Πρωτάθλημα του 2010 ενώ μια εθνική θα πρέπει να περάσει από αγώνες μπαράζ με την ομάδα που θα είναι πέμπτη στα προκριματικά της Νοτίου Αμερικής.
το ύψος,height,,Αναφέρεται ως ύψος 914 μέτρα.
η έδρα,seat,,Gunnes (1976) p. 331 Μετακίνησε την έδρα του στο Χόλμεν την ανατολική ακτή του Βαγκέν όπου βρισκόταν ο πυρήνας της πόλης αναπτύσσοντας σημαντικά την γραφειοκρατία.
έδωσε,gave,,"Robinson 2000, σ. 287 Ο Ερρίκος Δ΄ έκανε ωστόσο κατάσχεση στο δουκάτο και το έδωσε στον γιο του Κορράδο."
έξω,outside,,H κερκίδα βρίσκεται στο έξω χείλος του πήχυ και αντιστοιχεί στον αντίχειρα και η ωλένη στο έσω και αντιστοιχεί στο μικρό δάχτυλο του χεριού.
το βιβλίο,book,,"Le Chevalier de Maison-Rouge, την οποία, όπως μας εκμυστηρεύεται, είχε ερωτευτεί νέος στην τηλεοπτική μεταφορά του βιβλίου."
οι κάτοικοι,residents,,"France 1994, p. 18. Ο εμίρης Μπαλάκ ιμπν Μπαχρόμ ζήτησε από τον Βαλδουίνο να καταστείλει μια εξέγερση στην Σαρούζ, οι μουσουλμάνοι κάτοικοι πίεσαν τον Μπαλντούκ να διώξει τους Σταυροφόρους."
η καριέρα,career,,"Άρχισε να σκηνοθετεί ταινίες από το 1916, αλλά η καριέρα του διακόπηκε από την υπηρεσία στον βελγικό στρατό κατά τη διάρκεια του 1917-1919."
η λειτουργία,mode,,;R-Coffee : μια ειδική λειτουργία του T-Coffee που δίνει τη δυνατότητα στο χρήστη να κάνει στοίχιση RNA ακολουθιών χρησιμοποιώντας ταυτόχρονα δευτεροταγής δομικές πληροφορίες.
μου,my,,"Chris Scarre, Τα εβδομήντα θαύματα του αρχαίου κόσμου – Τα μεγάλα μνημεία και πως κατασκευάσθηκαν, εκδ."
νερό,water,,"Hudgens and Trillo 1047, Mbaku 122, West 84. Παραδοσιακά ποτά που συνοδεύουν το γεύμα είναι νερό, κρασί από φοινικόδεντρα και μπύρα από κεχρί, αν και η μπύρα, το κρασί και τα αναψυκτικά γίνονται επίσης δημοφιλή."
ούτε,neither,,"CCAA, Walter Eder, Augustus and the Power of Tradition, 30. Σύμφωνα με τα καθιερωμένα δεν επιτρεπόταν να συνυπάρξουν στο ίδιο πρόσωπο τα αξιώματα του δημάρχου και του τιμητή, αν και ούτε ο ίδιος ο Αύγουστος εκλέχτηκε ποτέ επισήμως τιμητής."
τα προβλήματα,problems,,"Άλλωστε, ένα από τα σημαντικότερα ταξινομικά προβλήματα του είδους είναι οι χρωματικές παραλλαγές «χώματος» που εμφανίζουν τα επί μέρους υποείδη, ανάλογα με το περιβάλλον όπου συχνάζουν."
πρώτα,first,,"W. Dziewulski, F. Hawranek, Opole - Monografia miasta, Instytut Śląski Opole 1975, p. 57. Το Οπόλε απέκτησε τα πρώτα δικαιώματα πόλης περίπου το 1217, αλλά η ημερομηνία αμφισβητείται."
ο Δεκέμβριος,December,,
επιπλέον,Furthermore,,"Βεβαίως, τίθεται και ένα επιπλέον ερώτημα: ποιος θα είναι ο αρμόδιος να δώσει απάντηση στα προηγούμενα ερωτήματα."
